AFFGEOID,Cartogram Data (eg. Population),Color,Inset,Label,ALAND,AWATER,COUNTYNS,GEOID,ShapeName
0500000US01001,"58,805",,,,1539634184,25674812,161526,1001,Autauga
0500000US01003,"231,767",,,,4117656514,1132955729,161527,1003,Baldwin
0500000US01005,"25,223",,,,2292160149,50523213,161528,1005,Barbour
0500000US01007,"22,293",,,,1612188717,9572303,161529,1007,Bibb
0500000US01009,"59,134",,,,1670259090,14860281,161530,1009,Blount
0500000US01011,"10,357",,,,1613083467,6030667,161531,1011,Bullock
0500000US01013,"19,051",,,,2012002546,2701199,161532,1013,Butler
0500000US01015,"116,441",,,,1569246126,16536293,161533,1015,Calhoun
0500000US01017,"34,772",,,,1545085601,16971700,161534,1017,Chambers
0500000US01019,"24,971",,,,1433620850,120310807,161535,1019,Cherokee
0500000US01021,"45,014",,,,1794438835,20592116,161536,1021,Chilton
0500000US01023,"12,665",,,,2365900081,19114321,161537,1023,Choctaw
0500000US01025,"23,087",,,,3207494086,36657889,161538,1025,Clarke
0500000US01027,"14,236",,,,1564255426,5281616,161539,1027,Clay
0500000US01029,"15,056",,,,1450666453,2352217,161540,1029,Cleburne
0500000US01031,"53,465",,,,1758565928,3907189,161541,1031,Coffee
0500000US01033,"57,227",,,,1535742270,79160396,161542,1033,Colbert
0500000US01035,"11,597",,,,2202213384,6426488,161543,1035,Conecuh
0500000US01037,"10,387",,,,1685846963,39991153,161544,1037,Coosa
0500000US01039,"37,570",,,,2669165738,34194671,161545,1039,Covington
0500000US01041,"13,194",,,,1576952763,5388562,161546,1041,Crenshaw
0500000US01043,"87,866",,,,1902965973,52529944,161547,1043,Cullman
0500000US01045,"49,326",,,,1453276164,4051341,161548,1045,Dale
0500000US01047,"38,462",,,,2534919608,39124778,161549,1047,Dallas
0500000US01049,"71,608",,,,2012620262,4107136,161550,1049,DeKalb
0500000US01051,"87,977",,,,1601945704,99781063,161551,1051,Elmore
0500000US01053,"36,757",,,,2448595161,20024887,161552,1053,Escambia
0500000US01055,"103,436",,,,1385916768,35022972,161553,1055,Etowah
0500000US01057,"16,321",,,,1625693254,4330881,161554,1057,Fayette
0500000US01059,"32,113",,,,1641845708,32639621,161555,1059,Franklin
0500000US01061,"26,659",,,,1487908432,11567409,161556,1061,Geneva
0500000US01063,"7,730",,,,1675782057,33416141,161557,1063,Greene
0500000US01065,"14,785",,,,1667926655,32403804,161558,1065,Hale
0500000US01067,"17,146",,,,1454959642,16953809,161559,1067,Henry
0500000US01069,"107,202",,,,1501742238,4795415,161560,1069,Houston
0500000US01071,"52,579",,,,2792044654,126334707,161561,1071,Jackson
0500000US01073,"674,721",,,,2878852336,32681614,161562,1073,Jefferson
0500000US01075,"13,972",,,,1566544683,1600679,161563,1075,Lamar
