Population (people),Color,Inset,Label,IMPROPER_NAME_1
1908352,,,,An Giang
1148313,,,,Bà Rịa - Vũng Tàu
1803950,,,,Bắc Giang
313905,,,,Bắc Kạn
907236,,,,Bạc Liêu
1368840,,,,Bắc Ninh
1288463,,,,Bến Tre
2426561,,,,Bình Định
1248415,,,,Bình Dương
994679,,,,Bình Phước
1230808,,,,Bình Thuận
1194476,,,,Cà Mau
1235171,,,,Cần Thơ
530341,,,,Cao Bằng
622168,,,,Đà Nẵng
1869322,,,,Đắk Lắk
1134310,,,,Đắk Nông
598856,,,,Điện Biên
3097107,,,,Đồng Nai
1599504,,,,Đồng Tháp
1513847,,,,Gia Lai
854679,,,,Hà Giang
852800,,,,Hà Nam
8053663,,,,Hà Nội
1288866,,,,Hà Tĩnh
1892254,,,,Hải Dương
2028514,,,,Hải Phòng
733017,,,,Hậu Giang
8993082,,,,Hồ Chí Minh
854131,,,,Hoà Bình
1134310,,,,Hưng Yên
1231107,,,,Khánh Hòa
1723067,,,,Kiên Giang
540438,,,,Kon Tum
460196,,,,Lai Châu
1296906,,,,Lâm Đồng
781655,,,,Lạng Sơn
730420,,,,Lào Cai
1688547,,,,Long An
1780393,,,,Nam Định
3327791,,,,Nghệ An
982487,,,,Ninh Bình
590467,,,,Ninh Thuận
1463726,,,,Phú Thọ
872964,,,,Phú Yên
895430,,,,Quảng Bình
1495812,,,,Quảng Nam
1231697,,,,Quảng Ngãi
1320324,,,,Quảng Ninh
632375,,,,Quảng Trị
1199653,,,,Sóc Trăng
1248415,,,,Sơn La
1169165,,,,Tây Ninh
1860447,,,,Thái Bình
1286751,,,,Thái Nguyên
3640128,,,,Thanh Hóa
1128620,,,,Thừa Thiên Huế
1764185,,,,Tiền Giang
1009168,,,,Trà Vinh
784811,,,,Tuyên Quang
1022791,,,,Vĩnh Long
1151154,,,,Vĩnh Phúc
821030,,,,Yên Bái
