NAME_1,Population (people),Color,Inset,Label
An Giang,1908352,,,AG
Bà Rịa - Vũng Tàu,1148313,,,BV
Bắc Giang,1803950,,,BG
Bắc Kạn,313905,,,BK
Bạc Liêu,907236,,,BL
Bắc Ninh,1368840,,,BN
Bến Tre,1288463,,,BR
Bình Định,2426561,,,BD
Bình Dương,1248415,,,BI
Bình Phước,994679,,,BP
Bình Thuận,1230808,,,BU
Cà Mau,1194476,,,CM
Cần Thơ,1235171,,,CN
Cao Bằng,530341,,,CB
Đà Nẵng,622168,,,DA
Đắk Lắk,1869322,,,DC
Đắk Nông,1134310,,,DO
Điện Biên,598856,,,DB
Đồng Nai,3097107,,,DN
Đồng Tháp,1599504,,,DT
Gia Lai,1513847,,,GL
Hà Giang,854679,,,HG
Hà Nam,852800,,,HM
Hà Nội,8053663,,,HI
Hà Tĩnh,1288866,,,HT
Hải Dương,1892254,,,HD
Hải Phòng,2028514,,,HP
Hậu Giang,733017,,,HU
Hồ Chí Minh,8993082,,,HC
Hoà Bình,854131,,,HO
Hưng Yên,1134310,,,HY
Khánh Hòa,1231107,,,KH
Kiên Giang,1723067,,,KG
Kon Tum,540438,,,KT
Lai Châu,460196,,,LI
Lâm Đồng,1296906,,,LD
Lạng Sơn,781655,,,LS
Lào Cai,730420,,,LO
Long An,1688547,,,LA
Nam Định,1780393,,,ND
Nghệ An,3327791,,,NA
Ninh Bình,982487,,,NB
Ninh Thuận,590467,,,NT
Phú Thọ,1463726,,,PT
Phú Yên,872964,,,PY
Quảng Bình,895430,,,QB
Quảng Nam,1495812,,,QM
Quảng Ngãi,1231697,,,QG
Quảng Ninh,1320324,,,QN
Quảng Trị,632375,,,QT
Sóc Trăng,1199653,,,ST
Sơn La,1248415,,,SL
Tây Ninh,1169165,,,TN
Thái Bình,1860447,,,TB
Thái Nguyên,1286751,,,TY
Thanh Hóa,3640128,,,TH
Thừa Thiên Huế,1128620,,,TT
Tiền Giang,1764185,,,TG
Trà Vinh,1009168,,,TV
Tuyên Quang,784811,,,TQ
Vĩnh Long,1022791,,,VL
Vĩnh Phúc,1151154,,,VC
Yên Bái,821030,,,YB
